,Unnamed: 0,Unnamed: 0.1,Name,Team,Pos,Nationality,CTteam,Height,Weight,MinutesPlayedPG,ptsPG,rebPG,astPG,toPG,stlPG,blkPG,pfPG,TotalGames,TotalMinutesPlayed,2ptsPercentage,3ptsPercentage,ftPercentage,fgPercentage,2ptsM_PG,2ptsA_PG,3ptsM_PG,3ptsA_PG,ftM_PG,ftA_PG,fgM_PG,fgA_PG,Totalpts,TotalREB,TotalAst,TotalTO,TotalSTL,TotalBLK,TotalPF,EFF,eFG,TS,TOV,C,F,G,pts_25min,reb_25min,ast_25min,to_25min,stl_25min,blk_25min,pf_25min,2ptsM_25min,2ptsA_25min,3ptsM_25min,3ptsA_25min,ftM_25min,ftA_25min,fgM_25min,fgA_25min,tsne_pos
147,147,147,巴隆,富邦勇士,C,0,0,213,113,35,27.4,14.6,1.3,2.1,0.8,0.7,2.2,27,956,0.4837,0.354,0.7283,0.45,8.2,17.0,2.1,6.0,4.7,6.4,10.3,23.0,741,393,35,57,22,20,60,28.3,0.49347826100000003,0.530678649,0.075225677,1,0,0,19.571428571428573,10.428571428571429,0.9285714285714286,1.5,0.5714285714285714,0.5,1.5714285714285716,5.857142857142857,12.142857142857142,1.5,4.285714285714286,3.357142857142857,4.571428571428571,7.357142857142857,16.428571428571427,0
148,148,148,洪康喬,金門酒廠,F,1,0,190,95,8,2.0,1.0,0.0,0.5,0.0,0.3,0.7,6,48,0.2727,0.1538,0.0,0.2083,0.5,1.8,0.3,2.2,0.0,0.0,0.8,4.0,12,6,0,3,0,2,4,-0.4,0.2375,0.25,0.111111111,0,1,0,6.25,3.125,0.0,1.5625,0.0,0.9375,2.1875,1.5625,5.625,0.9375,6.875000000000001,0.0,0.0,2.5,12.5,3
149,149,149,李家慶,金門酒廠,F,1,0,194,104,6,2.1,0.8,0.3,0.4,0.1,0.2,1.4,23,143,0.4444,0.0,0.7727,0.4444,0.7,1.6,0.0,0.0,0.7,1.0,0.7,1.6,49,19,8,10,3,4,32,1.9,0.4375,0.514705882,0.163934426,0,1,0,8.75,3.3333333333333335,1.25,1.6666666666666667,0.4166666666666667,0.8333333333333334,5.833333333333333,2.9166666666666665,6.666666666666667,0.0,0.0,2.9166666666666665,4.166666666666667,2.9166666666666665,6.666666666666667,1
150,150,150,鄧安誠,金門酒廠,F,1,0,189,107,15,4.1,2.9,0.6,0.7,0.8,0.2,1.9,285,4408,0.4687,0.2737,0.6109,0.4367,1.5,3.2,0.2,0.6,0.6,1.0,1.7,3.8,1169,833,166,195,219,68,543,5.4,0.473684211,0.483490566,0.141700405,0,1,0,6.833333333333332,4.833333333333333,1.0,1.1666666666666667,1.3333333333333333,0.3333333333333333,3.1666666666666665,2.5,5.333333333333333,0.3333333333333333,1.0,1.0,1.6666666666666667,2.8333333333333335,6.333333333333333,5
151,151,151,鄭騏寬,金門酒廠,F,1,0,188,89,13,4.5,1.5,0.4,0.6,0.2,0.1,1.0,42,559,0.4,0.3023,0.7333,0.3571,1.0,2.6,0.6,2.0,0.5,0.7,1.7,4.7,188,62,15,25,9,5,41,2.9,0.425531915,0.44928115,0.10699001400000001,0,1,0,8.653846153846153,2.8846153846153846,0.7692307692307693,1.1538461538461537,0.38461538461538464,0.19230769230769232,1.9230769230769231,1.9230769230769231,5.0,1.1538461538461537,3.8461538461538463,0.9615384615384616,1.3461538461538463,3.269230769230769,9.038461538461538,3
152,152,152,倪學謙,金門酒廠,G,1,0,170,75,10,1.8,1.1,0.6,1.1,0.4,0.0,1.8,20,192,0.3125,0.2162,0.5,0.2453,0.3,0.8,0.4,1.9,0.1,0.2,0.7,2.7,36,22,11,21,7,0,36,0.7,0.333333333,0.322812052,0.282921811,0,0,1,4.5,2.7500000000000004,1.5,2.7500000000000004,1.0,0.0,4.5,0.75,2.0,1.0,4.75,0.25,0.5,1.75,6.75,2
153,153,153,菲爾普斯,金門酒廠,F,0,0,200,105,39,29.3,16.3,2.3,3.7,1.2,1.2,2.3,28,1080,0.5025,0.2,0.6358,0.4881,10.8,21.5,0.2,1.1,7.1,11.2,11.0,22.5,821,457,64,104,33,34,64,31.0,0.493333333,0.5341257110000001,0.118864045,0,1,0,18.78205128205128,10.448717948717949,1.4743589743589742,2.371794871794872,0.7692307692307693,0.7692307692307693,1.4743589743589742,6.923076923076923,13.782051282051283,0.1282051282051282,0.7051282051282052,4.551282051282051,7.17948717948718,7.051282051282051,14.423076923076923,0
154,154,154,吳建龍,金門酒廠,F,1,0,195,105,17,4.3,3.6,0.9,0.8,0.5,0.4,1.1,237,4000,0.4404,0.2971,0.5847,0.3724,1.1,2.4,0.6,2.2,0.3,0.5,1.7,4.6,1030,846,220,179,113,98,270,5.8,0.434782609,0.446058091,0.142348754,0,1,0,6.323529411764706,5.294117647058823,1.3235294117647058,1.1764705882352942,0.7352941176470589,0.5882352941176471,1.6176470588235297,1.6176470588235297,3.5294117647058822,0.8823529411764706,3.2352941176470593,0.4411764705882353,0.7352941176470589,2.5,6.76470588235294,3
155,155,155,葛記豪,裕隆納智捷,G,1,1,181,85,19,6.1,2.4,2.3,1.5,1.3,0.1,2.0,199,3761,0.4268,0.3481,0.6915,0.3924,1.4,3.2,0.9,2.5,0.7,1.0,2.2,5.7,1206,472,448,295,263,14,389,6.9,0.46491228100000004,0.496742671,0.196335079,0,0,1,8.026315789473685,3.1578947368421053,3.0263157894736836,1.9736842105263157,1.7105263157894737,0.13157894736842105,2.6315789473684212,1.8421052631578947,4.2105263157894735,1.1842105263157894,3.289473684210526,0.9210526315789473,1.3157894736842106,2.8947368421052637,7.5,2
156,156,156,陳則語,裕隆納智捷,G,1,0,184,78,10,2.4,0.8,1.1,1.0,0.3,0.0,1.4,57,545,0.3169,0.1628,0.5952,0.2811,0.8,2.5,0.1,0.8,0.4,0.7,0.9,3.2,136,48,60,58,19,0,77,1.0,0.296875,0.342075257,0.221827862,0,0,1,6.0,2.0,2.7500000000000004,2.5,0.75,0.0,3.5,2.0,6.25,0.25,2.0,1.0,1.75,2.25,8.0,2
157,157,157,陳國維,臺灣銀行,F,1,0,190,100,13,4.3,2.4,0.6,0.7,0.3,0.1,1.6,196,2575,0.4107,0.2754,0.6016,0.3623,1.3,3.1,0.5,1.7,0.4,0.7,1.7,4.8,845,480,122,135,66,16,318,3.6,0.40625,0.420908379,0.120523416,0,1,0,8.26923076923077,4.615384615384615,1.1538461538461537,1.3461538461538463,0.5769230769230769,0.19230769230769232,3.076923076923077,2.5,5.961538461538462,0.9615384615384616,3.269230769230769,0.7692307692307693,1.3461538461538463,3.269230769230769,9.23076923076923,3
158,158,158,尚韋帆,台灣啤酒,F,1,0,195,93,18,6.6,3.5,1.0,1.4,0.6,0.3,1.7,319,5856,0.478,0.2484,0.7174,0.4028,1.9,4.1,0.5,2.0,1.3,1.8,2.4,6.0,2112,1102,331,439,178,87,527,6.5,0.441666667,0.485865724,0.170898438,0,1,0,9.166666666666666,4.861111111111111,1.3888888888888888,1.9444444444444444,0.8333333333333334,0.4166666666666667,2.361111111111111,2.638888888888889,5.694444444444444,0.6944444444444444,2.7777777777777777,1.8055555555555556,2.5,3.3333333333333335,8.333333333333334,3
159,159,159,左從凱,台灣啤酒,F,1,0,186,83,18,8.0,1.6,0.8,1.0,0.7,0.1,1.3,222,4028,0.4408,0.3474,0.7057,0.4058,2.0,4.5,0.9,2.7,1.3,1.8,2.9,7.1,1773,345,183,220,162,20,282,5.5,0.471830986,0.506842372,0.112460639,0,1,0,11.11111111111111,2.2222222222222223,1.1111111111111112,1.3888888888888888,0.9722222222222222,0.1388888888888889,1.8055555555555556,2.7777777777777777,6.25,1.25,3.75,1.8055555555555556,2.5,4.027777777777778,9.86111111111111,3
160,160,160,陳子威,桃園璞園建築,C,1,0,200,103,16,7.0,2.5,0.5,0.9,0.4,0.2,1.6,370,5815,0.4438,0.3447,0.7649,0.3876,1.2,2.7,1.2,3.5,1.1,1.4,2.4,6.2,2608,928,184,326,138,87,586,5.6,0.48387096799999996,0.5134976529999999,0.11664074699999999,1,0,0,10.9375,3.90625,0.78125,1.40625,0.625,0.3125,2.5,1.875,4.21875,1.875,5.46875,1.7187500000000002,2.1875,3.75,9.6875,3
161,161,161,陳京華,富邦勇士,G,1,0,190,85,9,2.2,1.5,0.2,0.8,0.3,0.0,1.0,29,269,0.3333,0.3704,0.3333,0.3472,0.5,1.6,0.3,0.9,0.1,0.3,0.9,2.5,63,43,6,22,10,1,29,1.6,0.42,0.417933131,0.23310023300000002,0,0,1,6.111111111111112,4.166666666666667,0.5555555555555556,2.2222222222222223,0.8333333333333334,0.0,2.7777777777777777,1.3888888888888888,4.444444444444445,0.8333333333333334,2.5,0.2777777777777778,0.8333333333333334,2.5,6.944444444444445,2
